Entity,Code,Year,unit value|Bauxite|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,74
World,OWID_WRL,1901,71
World,OWID_WRL,1902,64
World,OWID_WRL,1903,60
World,OWID_WRL,1904,57
World,OWID_WRL,1905,71
World,OWID_WRL,1906,63
World,OWID_WRL,1907,64
World,OWID_WRL,1908,73
World,OWID_WRL,1909,80
World,OWID_WRL,1910,72
World,OWID_WRL,1911,66
World,OWID_WRL,1912,61
World,OWID_WRL,1913,64.9
World,OWID_WRL,1914,62.3
World,OWID_WRL,1915,79.4
World,OWID_WRL,1916,42.6
World,OWID_WRL,1917,47.3
World,OWID_WRL,1918,43.1
World,OWID_WRL,1919,56.1
World,OWID_WRL,1920,47
World,OWID_WRL,1921,53.5
World,OWID_WRL,1922,37.9
World,OWID_WRL,1923,46.8
World,OWID_WRL,1924,42.2
World,OWID_WRL,1925,40.1
World,OWID_WRL,1926,38.2
World,OWID_WRL,1927,40.7
World,OWID_WRL,1928,41.1
World,OWID_WRL,1929,43.3
World,OWID_WRL,1930,46.8
World,OWID_WRL,1931,51.5
World,OWID_WRL,1932,59.4
World,OWID_WRL,1933,74.2
World,OWID_WRL,1934,86.4
World,OWID_WRL,1935,84.8
World,OWID_WRL,1936,84.7
World,OWID_WRL,1937,79.2
World,OWID_WRL,1938,88
World,OWID_WRL,1939,83.5
World,OWID_WRL,1940,78.2
World,OWID_WRL,1941,73
World,OWID_WRL,1942,66.2
World,OWID_WRL,1943,65.1
World,OWID_WRL,1944,62.5
World,OWID_WRL,1945,63.6
World,OWID_WRL,1946,57.6
World,OWID_WRL,1947,46.9
World,OWID_WRL,1948,42.3
World,OWID_WRL,1949,41
World,OWID_WRL,1950,41.6
World,OWID_WRL,1951,38.9
World,OWID_WRL,1952,40.2
World,OWID_WRL,1953,40.5
World,OWID_WRL,1954,41.1
World,OWID_WRL,1955,44.9
World,OWID_WRL,1956,46.2
World,OWID_WRL,1957,49
World,OWID_WRL,1958,49.2
World,OWID_WRL,1959,49.8
World,OWID_WRL,1960,48.4
World,OWID_WRL,1961,51.8
World,OWID_WRL,1962,61.3
World,OWID_WRL,1963,65.2
World,OWID_WRL,1964,65.5
World,OWID_WRL,1965,58.5
World,OWID_WRL,1966,57.2
World,OWID_WRL,1967,62.7
World,OWID_WRL,1968,58.9
World,OWID_WRL,1969,57.9
World,OWID_WRL,1970,51.2
World,OWID_WRL,1971,49.3
World,OWID_WRL,1972,50.7
World,OWID_WRL,1973,46
World,OWID_WRL,1974,83.1
World,OWID_WRL,1975,61.6
World,OWID_WRL,1976,68.1
World,OWID_WRL,1977,68.1
World,OWID_WRL,1978,65.9
World,OWID_WRL,1979,57.2
World,OWID_WRL,1980,51.9
World,OWID_WRL,1981,50.7
World,OWID_WRL,1982,55.1
World,OWID_WRL,1983,47
World,OWID_WRL,1984,46.7
World,OWID_WRL,1985,43.9
World,OWID_WRL,1986,41
World,OWID_WRL,1987,33.5
World,OWID_WRL,1988,32.9
World,OWID_WRL,1989,35.3
World,OWID_WRL,1990,34
World,OWID_WRL,1991,36.3
World,OWID_WRL,1992,33.2
World,OWID_WRL,1993,31.4
World,OWID_WRL,1994,28.2
World,OWID_WRL,1995,25.1
World,OWID_WRL,1996,27.9
World,OWID_WRL,1997,24.7
World,OWID_WRL,1998,22.4
World,OWID_WRL,1999,20.6
World,OWID_WRL,2000,21.2
World,OWID_WRL,2001,20.6
World,OWID_WRL,2002,18
World,OWID_WRL,2003,16.9
World,OWID_WRL,2004,18.8
World,OWID_WRL,2005,20.6
World,OWID_WRL,2006,21.5
World,OWID_WRL,2007,22.3
World,OWID_WRL,2008,22.8
World,OWID_WRL,2009,21
World,OWID_WRL,2010,20.2
World,OWID_WRL,2011,22.1
World,OWID_WRL,2012,20.2
World,OWID_WRL,2013,19.2
World,OWID_WRL,2014,18.4
World,OWID_WRL,2015,19
World,OWID_WRL,2016,19.1
World,OWID_WRL,2017,20.9
World,OWID_WRL,2018,20.4
World,OWID_WRL,2019,20.6
World,OWID_WRL,2020,19
World,OWID_WRL,2021,18.4