Entity,Code,Year,reserves|Copper|Mine|tonnes
Australia,AUS,2022,97000000
Australia,AUS,2023,100000000
Australia,AUS,2024,100000000
Canada,CAN,2022,7600000
Canada,CAN,2023,7600000
Canada,CAN,2024,8300000
Chile,CHL,2022,190000000
Chile,CHL,2023,190000000
Chile,CHL,2024,190000000
China,CHN,2022,27000000
China,CHN,2023,41000000
China,CHN,2024,41000000
Democratic Republic of Congo,COD,2022,31000000
Democratic Republic of Congo,COD,2023,80000000
Democratic Republic of Congo,COD,2024,80000000
Germany,DEU,2022,0
Germany,DEU,2023,0
India,IND,2024,2200000
Indonesia,IDN,2022,24000000
Indonesia,IDN,2023,24000000
Indonesia,IDN,2024,21000000
Japan,JPN,2022,0
Japan,JPN,2023,0
Kazakhstan,KAZ,2022,20000000
Kazakhstan,KAZ,2023,20000000
Kazakhstan,KAZ,2024,20000000
Mexico,MEX,2022,53000000
Mexico,MEX,2023,53000000
Mexico,MEX,2024,53000000
Other,,2022,200000000
Other,,2023,180000000
Other,,2024,180000000
Peru,PER,2022,81000000
Peru,PER,2023,120000000
Peru,PER,2024,100000000
Poland,POL,2022,30000000
Poland,POL,2023,34000000
Poland,POL,2024,34000000
Russia,RUS,2022,62000000
Russia,RUS,2023,80000000
Russia,RUS,2024,80000000
South Korea,KOR,2022,0
South Korea,KOR,2023,0
United States,USA,2022,44000000
United States,USA,2023,50000000
United States,USA,2024,47000000
World,OWID_WRL,2022,890000000
World,OWID_WRL,2023,1000000000
World,OWID_WRL,2024,980000000
Zambia,ZMB,2022,19000000
Zambia,ZMB,2023,21000000
Zambia,ZMB,2024,21000000