Entity,Code,Year,reserves|Gold|Mine|tonnes
Australia,AUS,2022,8400
Australia,AUS,2023,12000
Australia,AUS,2024,12000
Brazil,BRA,2022,2400
Brazil,BRA,2023,2400
Brazil,BRA,2024,2400
Canada,CAN,2022,2300
Canada,CAN,2023,2300
Canada,CAN,2024,3200
China,CHN,2022,1900
China,CHN,2023,3000
China,CHN,2024,3100
Colombia,COL,2024,700
Ghana,GHA,2022,1000
Ghana,GHA,2023,1000
Ghana,GHA,2024,1000
Indonesia,IDN,2022,2600
Indonesia,IDN,2023,2600
Indonesia,IDN,2024,3600
Kazakhstan,KAZ,2022,1000
Kazakhstan,KAZ,2023,1000
Kazakhstan,KAZ,2024,2300
Mali,MLI,2022,800
Mali,MLI,2023,800
Mali,MLI,2024,800
Mexico,MEX,2022,1400
Mexico,MEX,2023,1400
Mexico,MEX,2024,1400
Other,,2022,9200
Other,,2023,9200
Other,,2024,9200
Papua New Guinea,PNG,2022,1100
Peru,PER,2022,2900
Peru,PER,2023,2300
Peru,PER,2024,2500
Russia,RUS,2022,6800
Russia,RUS,2023,11100
Russia,RUS,2024,12000
South Africa,ZAF,2022,5000
South Africa,ZAF,2023,5000
South Africa,ZAF,2024,5000
Tanzania,TZA,2023,420
Tanzania,TZA,2024,400
United States,USA,2022,3000
United States,USA,2023,3000
United States,USA,2024,3000
Uzbekistan,UZB,2022,1800
Uzbekistan,UZB,2023,1800
Uzbekistan,UZB,2024,1800
World,OWID_WRL,2022,52000
World,OWID_WRL,2023,59000
World,OWID_WRL,2024,64000