Entity,Code,Year,unit value|Gold|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,11900000
World,OWID_WRL,1901,11900000
World,OWID_WRL,1902,11400000
World,OWID_WRL,1903,11000000
World,OWID_WRL,1904,11000000
World,OWID_WRL,1905,11000000
World,OWID_WRL,1906,11000000
World,OWID_WRL,1907,10600000
World,OWID_WRL,1908,11000000
World,OWID_WRL,1909,11000000
World,OWID_WRL,1910,10600000
World,OWID_WRL,1911,10600000
World,OWID_WRL,1912,10300000
World,OWID_WRL,1913,10000000
World,OWID_WRL,1914,9940000
World,OWID_WRL,1915,9940000
World,OWID_WRL,1916,9320000
World,OWID_WRL,1917,8010000
World,OWID_WRL,1918,6850000
World,OWID_WRL,1919,6040000
World,OWID_WRL,1920,5380000
World,OWID_WRL,1921,6050000
World,OWID_WRL,1922,6490000
World,OWID_WRL,1923,6350000
World,OWID_WRL,1924,6330000
World,OWID_WRL,1925,6170000
World,OWID_WRL,1926,6110000
World,OWID_WRL,1927,6240000
World,OWID_WRL,1928,6320000
World,OWID_WRL,1929,6300000
World,OWID_WRL,1930,6460000
World,OWID_WRL,1931,7750000
World,OWID_WRL,1932,7940000
World,OWID_WRL,1933,10700000
World,OWID_WRL,1934,13600000
World,OWID_WRL,1935,13300000
World,OWID_WRL,1936,13200000
World,OWID_WRL,1937,12700000
World,OWID_WRL,1938,13000000
World,OWID_WRL,1939,13000000
World,OWID_WRL,1940,12700000
World,OWID_WRL,1941,12100000
World,OWID_WRL,1942,10900000
World,OWID_WRL,1943,10300000
World,OWID_WRL,1944,10100000
World,OWID_WRL,1945,10100000
World,OWID_WRL,1946,9350000
World,OWID_WRL,1947,8180000
World,OWID_WRL,1948,7590000
World,OWID_WRL,1949,6980000
World,OWID_WRL,1950,7570000
World,OWID_WRL,1951,7030000
World,OWID_WRL,1952,6810000
World,OWID_WRL,1953,6820000
World,OWID_WRL,1954,6860000
World,OWID_WRL,1955,6870000
World,OWID_WRL,1956,6770000
World,OWID_WRL,1957,6490000
World,OWID_WRL,1958,6380000
World,OWID_WRL,1959,6320000
World,OWID_WRL,1960,6230000
World,OWID_WRL,1961,6160000
World,OWID_WRL,1962,6090000
World,OWID_WRL,1963,6010000
World,OWID_WRL,1964,5930000
World,OWID_WRL,1965,5840000
World,OWID_WRL,1966,5670000
World,OWID_WRL,1967,5520000
World,OWID_WRL,1968,6040000
World,OWID_WRL,1969,5910000
World,OWID_WRL,1970,4910000
World,OWID_WRL,1971,5360000
World,OWID_WRL,1972,7330000
World,OWID_WRL,1973,11500000
World,OWID_WRL,1974,17000000
World,OWID_WRL,1975,15700000
World,OWID_WRL,1976,11500000
World,OWID_WRL,1977,12800000
World,OWID_WRL,1978,15500000
World,OWID_WRL,1979,22200000
World,OWID_WRL,1980,39000000
World,OWID_WRL,1981,26500000
World,OWID_WRL,1982,20400000
World,OWID_WRL,1983,22300000
World,OWID_WRL,1984,18200000
World,OWID_WRL,1985,15500000
World,OWID_WRL,1986,17500000
World,OWID_WRL,1987,22100000
World,OWID_WRL,1988,19400000
World,OWID_WRL,1989,16200000
World,OWID_WRL,1990,15500000
World,OWID_WRL,1991,14000000
World,OWID_WRL,1992,12900000
World,OWID_WRL,1993,13100000
World,OWID_WRL,1994,13600000
World,OWID_WRL,1995,13300000
World,OWID_WRL,1996,13000000
World,OWID_WRL,1997,10900000
World,OWID_WRL,1998,9490000
World,OWID_WRL,1999,8810000
World,OWID_WRL,2000,8530000
World,OWID_WRL,2001,8060000
World,OWID_WRL,2002,9060000
World,OWID_WRL,2003,10400000
World,OWID_WRL,2004,11400000
World,OWID_WRL,2005,11900000
World,OWID_WRL,2006,15800000
World,OWID_WRL,2007,17700000
World,OWID_WRL,2008,21300000
World,OWID_WRL,2009,23800000
World,OWID_WRL,2010,29500000
World,OWID_WRL,2011,36600000
World,OWID_WRL,2012,38200000
World,OWID_WRL,2013,31800000
World,OWID_WRL,2014,28100000
World,OWID_WRL,2015,25700000
World,OWID_WRL,2016,27300000
World,OWID_WRL,2017,27000000
World,OWID_WRL,2018,26500000
World,OWID_WRL,2019,28600000
World,OWID_WRL,2020,35900000
World,OWID_WRL,2021,34800000
World,OWID_WRL,2022,32300000