Entity,Code,Year,unit value|Lead|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1900,2000
World,OWID_WRL,1901,1900
World,OWID_WRL,1902,1700
World,OWID_WRL,1903,1700
World,OWID_WRL,1904,1700
World,OWID_WRL,1905,1800
World,OWID_WRL,1906,2300
World,OWID_WRL,1907,2100
World,OWID_WRL,1908,1700
World,OWID_WRL,1909,1700
World,OWID_WRL,1910,1700
World,OWID_WRL,1911,1700
World,OWID_WRL,1912,1700
World,OWID_WRL,1913,1600
World,OWID_WRL,1914,1400
World,OWID_WRL,1915,1680
World,OWID_WRL,1916,2270
World,OWID_WRL,1917,2420
World,OWID_WRL,1918,1700
World,OWID_WRL,1919,1210
World,OWID_WRL,1920,1470
World,OWID_WRL,1921,945
World,OWID_WRL,1922,1220
World,OWID_WRL,1923,1550
World,OWID_WRL,1924,1740
World,OWID_WRL,1925,1880
World,OWID_WRL,1926,1710
World,OWID_WRL,1927,1400
World,OWID_WRL,1928,1320
World,OWID_WRL,1929,1440
World,OWID_WRL,1930,1200
World,OWID_WRL,1931,1010
World,OWID_WRL,1932,833
World,OWID_WRL,1933,1070
World,OWID_WRL,1934,1030
World,OWID_WRL,1935,1070
World,OWID_WRL,1936,1220
World,OWID_WRL,1937,1490
World,OWID_WRL,1938,1200
World,OWID_WRL,1939,1300
World,OWID_WRL,1940,1330
World,OWID_WRL,1941,1420
World,OWID_WRL,1942,1430
World,OWID_WRL,1943,1350
World,OWID_WRL,1944,1320
World,OWID_WRL,1945,1300
World,OWID_WRL,1946,1490
World,OWID_WRL,1947,2360
World,OWID_WRL,1948,2690
World,OWID_WRL,1949,2320
World,OWID_WRL,1950,1980
World,OWID_WRL,1951,2410
World,OWID_WRL,1952,2230
World,OWID_WRL,1953,1810
World,OWID_WRL,1954,1880
World,OWID_WRL,1955,2040
World,OWID_WRL,1956,2110
World,OWID_WRL,1957,1880
World,OWID_WRL,1958,1510
World,OWID_WRL,1959,1500
World,OWID_WRL,1960,1450
World,OWID_WRL,1961,1310
World,OWID_WRL,1962,1150
World,OWID_WRL,1963,1310
World,OWID_WRL,1964,1580
World,OWID_WRL,1965,1830
World,OWID_WRL,1966,1670
World,OWID_WRL,1967,1510
World,OWID_WRL,1968,1370
World,OWID_WRL,1969,1460
World,OWID_WRL,1970,1450
World,OWID_WRL,1971,1230
World,OWID_WRL,1972,1290
World,OWID_WRL,1973,1320
World,OWID_WRL,1974,1640
World,OWID_WRL,1975,1440
World,OWID_WRL,1976,1460
World,OWID_WRL,1977,1820
World,OWID_WRL,1978,1860
World,OWID_WRL,1979,2600
World,OWID_WRL,1980,1850
World,OWID_WRL,1981,1440
World,OWID_WRL,1982,949
World,OWID_WRL,1983,782
World,OWID_WRL,1984,885
World,OWID_WRL,1985,638
World,OWID_WRL,1986,721
World,OWID_WRL,1987,1140
World,OWID_WRL,1988,1130
World,OWID_WRL,1989,1140
World,OWID_WRL,1990,1260
World,OWID_WRL,1991,884
World,OWID_WRL,1992,899
World,OWID_WRL,1993,788
World,OWID_WRL,1994,902
World,OWID_WRL,1995,998
World,OWID_WRL,1996,1120
World,OWID_WRL,1997,1050
World,OWID_WRL,1998,999
World,OWID_WRL,1999,942
World,OWID_WRL,2000,910
World,OWID_WRL,2001,886
World,OWID_WRL,2002,871
World,OWID_WRL,2003,855
World,OWID_WRL,2004,1050
World,OWID_WRL,2005,1130
World,OWID_WRL,2006,1380
World,OWID_WRL,2007,2150
World,OWID_WRL,2008,2010
World,OWID_WRL,2009,1460
World,OWID_WRL,2010,1790
World,OWID_WRL,2011,1950
World,OWID_WRL,2012,1790
World,OWID_WRL,2013,1770
World,OWID_WRL,2014,1610
World,OWID_WRL,2015,1380
World,OWID_WRL,2016,1410
World,OWID_WRL,2017,1680
World,OWID_WRL,2018,1590
World,OWID_WRL,2019,1400
World,OWID_WRL,2020,1270
World,OWID_WRL,2021,1500