Entity,Code,Year,production|Lithium|Mine|tonnes
Argentina,ARG,2020,5900
Argentina,ARG,2021,5970
Argentina,ARG,2022,6590
Argentina,ARG,2023,8630
Argentina,ARG,2024,18000
Australia,AUS,2020,39700
Australia,AUS,2021,55300
Australia,AUS,2022,74700
Australia,AUS,2023,91700
Australia,AUS,2024,88000
Brazil,BRA,2020,1420
Brazil,BRA,2021,1700
Brazil,BRA,2022,2630
Brazil,BRA,2023,5260
Brazil,BRA,2024,10000
Canada,CAN,2021,0
Canada,CAN,2022,520
Canada,CAN,2023,3240
Canada,CAN,2024,4300
Chile,CHL,2020,21500
Chile,CHL,2021,28300
Chile,CHL,2022,38000
Chile,CHL,2023,41400
Chile,CHL,2024,49000
China,CHN,2020,13300
China,CHN,2021,14000
China,CHN,2022,22600
China,CHN,2023,35700
China,CHN,2024,41000
Namibia,NAM,2023,2700
Namibia,NAM,2024,2700
Other,,2021,0
Other,,2022,0
Portugal,PRT,2020,348
Portugal,PRT,2021,900
Portugal,PRT,2022,380
Portugal,PRT,2023,380
Portugal,PRT,2024,380
World,OWID_WRL,2000,14100
World,OWID_WRL,2001,13100
World,OWID_WRL,2002,14100
World,OWID_WRL,2003,16600
World,OWID_WRL,2004,17700
World,OWID_WRL,2005,20300
World,OWID_WRL,2006,22400
World,OWID_WRL,2007,23300
World,OWID_WRL,2008,24700
World,OWID_WRL,2009,17500
World,OWID_WRL,2010,24400
World,OWID_WRL,2011,31000
World,OWID_WRL,2012,32700
World,OWID_WRL,2013,30300
World,OWID_WRL,2014,31600
World,OWID_WRL,2015,32200
World,OWID_WRL,2016,40200
World,OWID_WRL,2017,76400
World,OWID_WRL,2018,91800
World,OWID_WRL,2019,83800
World,OWID_WRL,2020,82500
World,OWID_WRL,2021,107000
World,OWID_WRL,2022,146000
World,OWID_WRL,2023,204000
World,OWID_WRL,2024,240000
Zimbabwe,ZWE,2020,417
Zimbabwe,ZWE,2021,710
Zimbabwe,ZWE,2022,1030
Zimbabwe,ZWE,2023,14900
Zimbabwe,ZWE,2024,22000