Entity,Code,Year,unit value|Lithium|Mine|constant 1998 US$ per tonne
World,OWID_WRL,1952,14600
World,OWID_WRL,1953,11400
World,OWID_WRL,1954,13300
World,OWID_WRL,1955,13000
World,OWID_WRL,1956,12800
World,OWID_WRL,1957,9940
World,OWID_WRL,1958,9100
World,OWID_WRL,1959,8990
World,OWID_WRL,1960,8960
World,OWID_WRL,1961,8040
World,OWID_WRL,1962,6400
World,OWID_WRL,1963,6220
World,OWID_WRL,1964,6160
World,OWID_WRL,1965,5110
World,OWID_WRL,1966,5330
World,OWID_WRL,1967,4730
World,OWID_WRL,1968,4660
World,OWID_WRL,1969,4490
World,OWID_WRL,1970,4830
World,OWID_WRL,1971,4510
World,OWID_WRL,1972,4520
World,OWID_WRL,1973,4480
World,OWID_WRL,1974,5750
World,OWID_WRL,1975,5210
World,OWID_WRL,1976,5240
World,OWID_WRL,1977,5220
World,OWID_WRL,1978,5270
World,OWID_WRL,1979,5080
World,OWID_WRL,1980,5260
World,OWID_WRL,1981,5570
World,OWID_WRL,1982,5250
World,OWID_WRL,1983,5340
World,OWID_WRL,1984,5340
World,OWID_WRL,1985,5020
World,OWID_WRL,1986,4920
World,OWID_WRL,1987,4910
World,OWID_WRL,1988,4950
World,OWID_WRL,1989,5010
World,OWID_WRL,1990,5030
World,OWID_WRL,1991,5040
World,OWID_WRL,1992,5020
World,OWID_WRL,1993,4750
World,OWID_WRL,1994,4850
World,OWID_WRL,1995,4640
World,OWID_WRL,1996,4510
World,OWID_WRL,1997,4550
World,OWID_WRL,1998,4480
World,OWID_WRL,1999,4360
World,OWID_WRL,2000,4230
World,OWID_WRL,2001,1370
World,OWID_WRL,2002,1440
World,OWID_WRL,2003,1370
World,OWID_WRL,2004,1480
World,OWID_WRL,2005,1220
World,OWID_WRL,2006,1880
World,OWID_WRL,2007,2770
World,OWID_WRL,2008,3360
World,OWID_WRL,2009,3440
World,OWID_WRL,2010,3250
World,OWID_WRL,2011,2800
World,OWID_WRL,2012,3000
World,OWID_WRL,2013,3070
World,OWID_WRL,2014,3110
World,OWID_WRL,2015,3120
World,OWID_WRL,2016,3340
World,OWID_WRL,2017,3260
World,OWID_WRL,2018,4740
World,OWID_WRL,2019,5120
World,OWID_WRL,2020,4030
World,OWID_WRL,2021,3730