Entity,Code,Year,reserves|Nickel|Mine|tonnes
Australia,AUS,2022,21000000
Australia,AUS,2023,24000000
Australia,AUS,2024,24000000
Brazil,BRA,2022,16000000
Brazil,BRA,2023,16000000
Brazil,BRA,2024,16000000
Canada,CAN,2022,2200000
Canada,CAN,2023,2200000
Canada,CAN,2024,2200000
China,CHN,2022,2100000
China,CHN,2023,4200000
China,CHN,2024,4400000
Indonesia,IDN,2022,21000000
Indonesia,IDN,2023,55000000
Indonesia,IDN,2024,55000000
New Caledonia,NCL,2022,7100000
New Caledonia,NCL,2023,7100000
New Caledonia,NCL,2024,7100000
Other,,2022,20000000
Other,,2023,9100000
Other,,2024,9100000
Philippines,PHL,2022,4800000
Philippines,PHL,2023,4800000
Philippines,PHL,2024,4800000
Russia,RUS,2022,7500000
Russia,RUS,2023,8300000
Russia,RUS,2024,8300000
United States,USA,2022,370000
United States,USA,2023,340000
United States,USA,2024,310000
World,OWID_WRL,2022,100000000
World,OWID_WRL,2023,130000000
World,OWID_WRL,2024,130000000