Entity,Code,Year,production|Rare earths|Mine|tonnes
Australia,AUS,2020,21000
Australia,AUS,2021,24000
Australia,AUS,2022,18000
Australia,AUS,2023,16000
Australia,AUS,2024,13000
Brazil,BRA,2020,600
Brazil,BRA,2021,500
Brazil,BRA,2022,80
Brazil,BRA,2023,140
Brazil,BRA,2024,20
Burundi,BDI,2020,300
Burundi,BDI,2021,200
Canada,CAN,2020,0
Canada,CAN,2021,0
Canada,CAN,2022,0
China,CHN,2020,140000
China,CHN,2021,168000
China,CHN,2022,210000
China,CHN,2023,255000
China,CHN,2024,270000
Greenland,GRL,2020,0
Greenland,GRL,2021,0
Greenland,GRL,2022,0
India,IND,2020,2900
India,IND,2021,2900
India,IND,2022,2900
India,IND,2023,2900
India,IND,2024,2900
Madagascar,MDG,2020,2800
Madagascar,MDG,2021,6800
Madagascar,MDG,2022,960
Madagascar,MDG,2023,2100
Madagascar,MDG,2024,2000
Malaysia,MYS,2022,80
Malaysia,MYS,2023,310
Malaysia,MYS,2024,130
Myanmar,MMR,2020,31000
Myanmar,MMR,2021,35000
Myanmar,MMR,2022,12000
Myanmar,MMR,2023,43000
Myanmar,MMR,2024,31000
Nigeria,NGA,2023,7200
Nigeria,NGA,2024,13000
Other,,2020,100
Other,,2021,60
Other,,2023,1440
Other,,2024,1100
Russia,RUS,2020,2700
Russia,RUS,2021,2600
Russia,RUS,2022,2600
Russia,RUS,2023,2500
Russia,RUS,2024,2500
South Africa,ZAF,2020,0
South Africa,ZAF,2021,0
South Africa,ZAF,2022,0
Tanzania,TZA,2020,0
Tanzania,TZA,2021,0
Tanzania,TZA,2022,0
Thailand,THA,2020,3600
Thailand,THA,2021,8200
Thailand,THA,2022,7100
Thailand,THA,2023,3600
Thailand,THA,2024,13000
United States,USA,1900,227
United States,USA,1901,187
United States,USA,1902,200
United States,USA,1903,215
United States,USA,1904,186
United States,USA,1905,335
United States,USA,1906,211
United States,USA,1907,137
United States,USA,1908,105
United States,USA,1909,135
United States,USA,1910,25
United States,USA,1915,9
United States,USA,1916,9
United States,USA,1917,25
United States,USA,1925,0.499
United States,USA,1948,20
United States,USA,1950,383
United States,USA,1951,747
United States,USA,1952,1110
United States,USA,1953,615
United States,USA,1954,983
United States,USA,1955,608
United States,USA,1957,499
United States,USA,1958,625
United States,USA,1959,600
United States,USA,1960,1050
United States,USA,1961,1030
United States,USA,1963,278
United States,USA,1964,256
United States,USA,1965,2900
United States,USA,1966,12200
United States,USA,1967,12900
United States,USA,1968,10300
United States,USA,1969,12500
United States,USA,1970,9110
United States,USA,1971,9820
United States,USA,1972,10700
United States,USA,1973,17500
United States,USA,1974,19900
United States,USA,1975,15000
United States,USA,1976,13000
United States,USA,1977,15400
United States,USA,1978,14100
United States,USA,1979,16500
United States,USA,1980,16000
United States,USA,1981,17100
United States,USA,1982,17500
United States,USA,1983,17100
United States,USA,1984,25300
United States,USA,1985,13400
United States,USA,1986,10900
United States,USA,1987,11100
United States,USA,1988,11500
United States,USA,1989,20800
United States,USA,1990,22700
United States,USA,1991,16500
United States,USA,1992,20700
United States,USA,1993,17800
United States,USA,1994,20700
United States,USA,1995,22200
United States,USA,1996,20400
United States,USA,1997,20000
United States,USA,1998,10000
United States,USA,1999,5000
United States,USA,2000,5000
United States,USA,2001,0
United States,USA,2002,0
United States,USA,2003,0
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,0
United States,USA,2008,0
United States,USA,2009,0
United States,USA,2010,0
United States,USA,2011,0
United States,USA,2012,3000
United States,USA,2013,5500
United States,USA,2014,5400
United States,USA,2015,5900
United States,USA,2016,0
United States,USA,2017,0
United States,USA,2018,14000
United States,USA,2019,28000
United States,USA,2020,39000
United States,USA,2021,42000
United States,USA,2022,42000
United States,USA,2023,41600
United States,USA,2024,45000
Vietnam,VNM,2020,700
Vietnam,VNM,2021,400
Vietnam,VNM,2022,1200
Vietnam,VNM,2023,300
Vietnam,VNM,2024,300
World,OWID_WRL,1900,1040
World,OWID_WRL,1901,1090
World,OWID_WRL,1902,863
World,OWID_WRL,1903,2030
World,OWID_WRL,1904,2860
World,OWID_WRL,1905,2780
World,OWID_WRL,1906,2600
World,OWID_WRL,1907,2580
World,OWID_WRL,1908,2840
World,OWID_WRL,1909,3690
World,OWID_WRL,1910,3020
World,OWID_WRL,1911,2490
World,OWID_WRL,1912,2500
World,OWID_WRL,1913,1480
World,OWID_WRL,1914,992
World,OWID_WRL,1915,870
World,OWID_WRL,1916,731
World,OWID_WRL,1917,1730
World,OWID_WRL,1918,1470
World,OWID_WRL,1919,1210
World,OWID_WRL,1920,1590
World,OWID_WRL,1921,929
World,OWID_WRL,1922,189
World,OWID_WRL,1923,138
World,OWID_WRL,1924,348
World,OWID_WRL,1925,12
World,OWID_WRL,1926,146
World,OWID_WRL,1927,352
World,OWID_WRL,1928,180
World,OWID_WRL,1929,197
World,OWID_WRL,1930,17
World,OWID_WRL,1931,50
World,OWID_WRL,1932,530
World,OWID_WRL,1933,302
World,OWID_WRL,1934,564
World,OWID_WRL,1935,2130
World,OWID_WRL,1936,1840
World,OWID_WRL,1937,2150
World,OWID_WRL,1938,3310
World,OWID_WRL,1939,2510
World,OWID_WRL,1940,2370
World,OWID_WRL,1941,2380
World,OWID_WRL,1942,1500
World,OWID_WRL,1943,1900
World,OWID_WRL,1944,3200
World,OWID_WRL,1945,1440
World,OWID_WRL,1946,721
World,OWID_WRL,1947,1300
World,OWID_WRL,1948,2720
World,OWID_WRL,1949,1290
World,OWID_WRL,1950,470
World,OWID_WRL,1951,1240
World,OWID_WRL,1952,1820
World,OWID_WRL,1953,3960
World,OWID_WRL,1954,7840
World,OWID_WRL,1955,5760
World,OWID_WRL,1956,5230
World,OWID_WRL,1957,5980
World,OWID_WRL,1958,8060
World,OWID_WRL,1959,2810
World,OWID_WRL,1960,2270
World,OWID_WRL,1961,3690
World,OWID_WRL,1962,8020
World,OWID_WRL,1963,6060
World,OWID_WRL,1964,3680
World,OWID_WRL,1965,6960
World,OWID_WRL,1966,16200
World,OWID_WRL,1967,16900
World,OWID_WRL,1968,16200
World,OWID_WRL,1969,18100
World,OWID_WRL,1970,15900
World,OWID_WRL,1971,16400
World,OWID_WRL,1972,18200
World,OWID_WRL,1973,24000
World,OWID_WRL,1974,25600
World,OWID_WRL,1975,22100
World,OWID_WRL,1976,19700
World,OWID_WRL,1977,24500
World,OWID_WRL,1978,26500
World,OWID_WRL,1979,28800
World,OWID_WRL,1980,27300
World,OWID_WRL,1981,30600
World,OWID_WRL,1982,26600
World,OWID_WRL,1983,31400
World,OWID_WRL,1984,41400
World,OWID_WRL,1985,43500
World,OWID_WRL,1986,39900
World,OWID_WRL,1987,46900
World,OWID_WRL,1988,55300
World,OWID_WRL,1989,60700
World,OWID_WRL,1990,52900
World,OWID_WRL,1991,41700
World,OWID_WRL,1992,50100
World,OWID_WRL,1993,46700
World,OWID_WRL,1994,55100
World,OWID_WRL,1995,74300
World,OWID_WRL,1996,79700
World,OWID_WRL,1997,68300
World,OWID_WRL,1998,77100
World,OWID_WRL,1999,86600
World,OWID_WRL,2000,90900
World,OWID_WRL,2001,94500
World,OWID_WRL,2002,98200
World,OWID_WRL,2003,97100
World,OWID_WRL,2004,102000
World,OWID_WRL,2005,122000
World,OWID_WRL,2006,137000
World,OWID_WRL,2007,124000
World,OWID_WRL,2008,132000
World,OWID_WRL,2009,135000
World,OWID_WRL,2010,101000
World,OWID_WRL,2011,104000
World,OWID_WRL,2012,106000
World,OWID_WRL,2013,107000
World,OWID_WRL,2014,125000
World,OWID_WRL,2015,129000
World,OWID_WRL,2016,133000
World,OWID_WRL,2017,147000
World,OWID_WRL,2018,190000
World,OWID_WRL,2019,219000
World,OWID_WRL,2020,240000
World,OWID_WRL,2021,290000
World,OWID_WRL,2022,300000
World,OWID_WRL,2023,376000
World,OWID_WRL,2024,390000