Entity,Code,Year,unit value|Cadmium|Refinery|constant 1998 US$ per tonne
World,OWID_WRL,1900,28000
World,OWID_WRL,1901,29000
World,OWID_WRL,1902,22000
World,OWID_WRL,1903,21000
World,OWID_WRL,1904,24000
World,OWID_WRL,1905,26000
World,OWID_WRL,1906,31000
World,OWID_WRL,1907,32000
World,OWID_WRL,1908,30000
World,OWID_WRL,1909,21000
World,OWID_WRL,1910,21000
World,OWID_WRL,1911,26000
World,OWID_WRL,1912,28000
World,OWID_WRL,1913,28000
World,OWID_WRL,1914,32000
World,OWID_WRL,1915,42300
World,OWID_WRL,1916,51400
World,OWID_WRL,1917,41300
World,OWID_WRL,1918,35200
World,OWID_WRL,1919,25400
World,OWID_WRL,1920,21000
World,OWID_WRL,1921,19700
World,OWID_WRL,1922,23300
World,OWID_WRL,1923,18500
World,OWID_WRL,1924,12600
World,OWID_WRL,1925,12300
World,OWID_WRL,1926,12200
World,OWID_WRL,1927,12400
World,OWID_WRL,1928,12600
World,OWID_WRL,1929,12600
World,OWID_WRL,1930,12900
World,OWID_WRL,1931,13000
World,OWID_WRL,1932,14400
World,OWID_WRL,1933,15200
World,OWID_WRL,1934,14700
World,OWID_WRL,1935,18300
World,OWID_WRL,1936,25300
World,OWID_WRL,1937,30500
World,OWID_WRL,1938,25000
World,OWID_WRL,1939,16500
World,OWID_WRL,1940,21100
World,OWID_WRL,1941,22000
World,OWID_WRL,1942,17400
World,OWID_WRL,1943,16400
World,OWID_WRL,1944,15300
World,OWID_WRL,1945,15400
World,OWID_WRL,1946,18200
World,OWID_WRL,1947,25300
World,OWID_WRL,1948,24700
World,OWID_WRL,1949,30200
World,OWID_WRL,1950,32300
World,OWID_WRL,1951,35200
World,OWID_WRL,1952,30300
World,OWID_WRL,1953,26900
World,OWID_WRL,1954,22700
World,OWID_WRL,1955,22800
World,OWID_WRL,1956,22500
World,OWID_WRL,1957,21800
World,OWID_WRL,1958,18900
World,OWID_WRL,1959,16700
World,OWID_WRL,1960,18400
World,OWID_WRL,1961,20200
World,OWID_WRL,1962,20500
World,OWID_WRL,1963,26500
World,OWID_WRL,1964,34800
World,OWID_WRL,1965,29400
World,OWID_WRL,1966,26900
World,OWID_WRL,1967,28400
World,OWID_WRL,1968,27400
World,OWID_WRL,1969,32000
World,OWID_WRL,1970,33100
World,OWID_WRL,1971,17000
World,OWID_WRL,1972,22000
World,OWID_WRL,1973,29400
World,OWID_WRL,1974,29800
World,OWID_WRL,1975,22400
World,OWID_WRL,1976,16800
World,OWID_WRL,1977,17600
World,OWID_WRL,1978,13500
World,OWID_WRL,1979,13700
World,OWID_WRL,1980,12400
World,OWID_WRL,1981,7620
World,OWID_WRL,1982,4140
World,OWID_WRL,1983,4080
World,OWID_WRL,1984,5850
World,OWID_WRL,1985,4040
World,OWID_WRL,1986,4100
World,OWID_WRL,1987,6280
World,OWID_WRL,1988,20900
World,OWID_WRL,1989,18100
World,OWID_WRL,1990,9290
World,OWID_WRL,1991,5300
World,OWID_WRL,1992,2320
World,OWID_WRL,1993,1120
World,OWID_WRL,1994,2740
World,OWID_WRL,1995,4330
World,OWID_WRL,1996,2840
World,OWID_WRL,1997,1150
World,OWID_WRL,1998,626
World,OWID_WRL,1999,382
World,OWID_WRL,2000,343
World,OWID_WRL,2001,460
World,OWID_WRL,2002,583
World,OWID_WRL,2003,1160
World,OWID_WRL,2004,1040
World,OWID_WRL,2005,2750
World,OWID_WRL,2006,2410
World,OWID_WRL,2007,5980
World,OWID_WRL,2008,4480
World,OWID_WRL,2009,2180
World,OWID_WRL,2010,2910
World,OWID_WRL,2011,2000
World,OWID_WRL,2012,1440
World,OWID_WRL,2013,1340
World,OWID_WRL,2014,1340
World,OWID_WRL,2015,1010
World,OWID_WRL,2016,910
World,OWID_WRL,2017,1160
World,OWID_WRL,2018,1880
World,OWID_WRL,2019,1700
World,OWID_WRL,2020,1440
World,OWID_WRL,2021,1540
World,OWID_WRL,2022,1900