Entity,Code,Year,reserves|Silver|Mine|tonnes
Argentina,ARG,2022,6500
Argentina,ARG,2023,6500
Argentina,ARG,2024,6500
Australia,AUS,2022,92000
Australia,AUS,2023,94000
Australia,AUS,2024,94000
Bolivia,BOL,2022,22000
Bolivia,BOL,2023,22000
Bolivia,BOL,2024,22000
Canada,CAN,2024,4900
Chile,CHL,2022,26000
Chile,CHL,2023,26000
Chile,CHL,2024,26000
China,CHN,2022,71000
China,CHN,2023,72000
China,CHN,2024,70000
India,IND,2022,7200
India,IND,2023,8000
India,IND,2024,8000
Mexico,MEX,2022,37000
Mexico,MEX,2023,37000
Mexico,MEX,2024,37000
Other,,2022,57000
Other,,2023,57000
Other,,2024,57000
Peru,PER,2022,98000
Peru,PER,2023,110000
Peru,PER,2024,140000
Poland,POL,2022,65000
Poland,POL,2023,63000
Poland,POL,2024,61000
Russia,RUS,2022,45000
Russia,RUS,2023,92000
Russia,RUS,2024,92000
United States,USA,2022,23000
United States,USA,2023,23000
United States,USA,2024,23000
World,OWID_WRL,2022,550000
World,OWID_WRL,2023,610000
World,OWID_WRL,2024,640000